mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;porcentage_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Sayada;صيادة;Liste partisane;Ennahdha;حزب حركة النھضة;735;0,199674002;4;7951;109;57;3681;3847
Tebourba;طبربة;Liste partisane;Ennahdha;حزب حركة النھضة;2132;0,386161927;10;21275;365;142;5521;6028
Tabarka;طبرقة;Liste partisane;Ennahdha;حزب حركة النھضة;1547;0,322829716;8;17075;312;74;4792;5178
Teboulba;طبلبة;Liste partisane;Ennahdha;حزب حركة النھضة;2412;0,315872184;8;17748;170;79;7636;7885
Teboulbou;طبلبو;Liste partisane;Ennahdha;حزب حركة النھضة;1171;0,26344207;5;11479;136;70;4445;4651
Touza;طوزة;Liste partisane;Ennahdha;حزب حركة النھضة;120;0,05973121;1;4059;27;9;2009;2045
Tina;طينة;Liste partisane;Ennahdha;حزب حركة النھضة;1742;0,327628362;8;17393;216;111;5317;5644
Abida;عبيدة;Liste partisane;Ennahdha;حزب حركة النھضة;728;0,222290076;4;6392;175;55;3275;3505
Agareb;عقارب;Liste partisane;Ennahdha;حزب حركة النھضة;2160;0,290166577;7;20009;298;152;7444;7894
Amiret Touazra;عميرة التوازرة;Liste partisane;Ennahdha;حزب حركة النھضة;296;0,174940898;2;3144;39;57;1692;1788
Amiret El Hojjaj;عميرة الحجاج;Liste partisane;Ennahdha;حزب حركة النھضة;254;0,195535027;2;3854;65;33;1299;1397
Amiret El Fehoul;عميرة الفحول;Liste partisane;Ennahdha;حزب حركة النھضة;109;0,080621302;1;2742;55;31;1352;1438
Ousja;عوسجة;Liste partisane;Ennahdha;حزب حركة النھضة;941;0,389648033;7;5035;88;58;2415;2561
El Ain El Beidha;عين البيضاء;Liste partisane;Ennahdha;حزب حركة النھضة;798;0,303884235;6;6984;166;67;2626;2859
Ain El Khemaissia;عين الخمايسية;Liste partisane;Ennahdha;حزب حركة النھضة;102;0,039443155;1;6610;115;67;2586;2768
Ain Essobh Nadhour;عين الصبح - الناظور;Liste partisane;Ennahdha;حزب حركة النھضة;364;0,124359412;2;8679;211;107;2927;3245
Ain Jelloula;عين جلولة;Liste partisane;Ennahdha;حزب حركة النھضة;767;0,524623803;6;3894;89;38;1462;1589
Ain Draham;عين دراهم;Liste partisane;Ennahdha;حزب حركة النھضة;1126;0,358598726;6;13439;284;110;3140;3534
Ghardimaou;غار الدماء;Liste partisane;Ennahdha;حزب حركة النھضة;1737;0,295961833;9;20171;289;174;5869;6332
Ghar El Melh;غار الملح;Liste partisane;Ennahdha;حزب حركة النھضة;944;0,570392749;7;4539;57;57;1655;1769
Ghezala;غزالة;Liste partisane;Ennahdha;حزب حركة النھضة;538;0,274629913;6;10562;237;64;1959;2260
Ghomrassen;غمراسن;Liste partisane;Ennahdha;حزب حركة النھضة;1266;0,584487535;10;7818;71;39;2166;2276
Ghenada;غنادة;Liste partisane;Ennahdha;حزب حركة النھضة;244;0,131394723;1;2720;72;28;1857;1957
Ghannouch;غنوش;Liste partisane;Ennahdha;حزب حركة النھضة;2387;0,688292964;17;12675;124;60;3468;3652
Fernana;فرنانة;Liste partisane;Ennahdha;حزب حركة النھضة;1317;0,462429775;11;12438;305;81;2848;3234
Feriana;فريانة;Liste partisane;Ennahdha;حزب حركة النھضة;1420;0,262719704;6;16744;246;105;5405;5756
Fondouk Jedidi;فندق الجديد - سلتان;Liste partisane;Ennahdha;حزب حركة النھضة;1274;0,279079956;5;11054;210;66;4565;4841
Foussana;فوسانة;Liste partisane;Ennahdha;حزب حركة النھضة;980;0,142607683;3;16494;329;101;6872;7302
Fouchana;فوشانة;Liste partisane;Ennahdha;حزب حركة النھضة;2444;0,355801427;12;20443;297;142;6869;7308
Gabes;قابس;Liste partisane;Ennahdha;حزب حركة النھضة;5760;0,398312703;12;51010;261;251;14461;14973
Goubellat;قبلاط;Liste partisane;Ennahdha;حزب حركة النھضة;279;0,215777262;4;5579;67;72;1293;1432
Kebili;قبلي;Liste partisane;Ennahdha;حزب حركة النھضة;2581;0,381071903;9;23887;231;175;6773;7179
Korba;قربة;Liste partisane;Ennahdha;حزب حركة النھضة;1935;0,209983722;6;24931;303;163;9215;9681
Korbous;قربص;Liste partisane;Ennahdha;حزب حركة النھضة;141;0,119592875;1;1966;39;19;1179;1237
Carthage;قرطاج;Liste partisane;Ennahdha;حزب حركة النھضة;892;0,165953488;3;15743;171;131;5375;5677
Kerkennah;قرقنة;Liste partisane;Ennahdha;حزب حركة النھضة;595;0,16951567;3;9202;73;55;3510;3638
Grombalia;قرمبالية;Liste partisane;Ennahdha;حزب حركة النھضة;1986;0,255040452;6;23508;275;174;7787;8236
Gremda;قرمدة;Liste partisane;Ennahdha;حزب حركة النھضة;3017;0,371734845;9;17166;116;92;8116;8324
Ksar Hellal;قصر هلال;Liste partisane;Ennahdha;حزب حركة النھضة;1271;0,11402171;3;26671;289;136;11147;11572
Ksour Essaf;قصور الساف;Liste partisane;Ennahdha;حزب حركة النھضة;792;0,135430917;3;15764;91;93;5848;6032
Ksibet Thrayet;قصيبة - الثريات;Liste partisane;Ennahdha;حزب حركة النھضة;601;0,197178478;3;6237;123;42;3048;3213
Ksibet El Mediouni;قصيبة المديوني;Liste partisane;Ennahdha;حزب حركة النھضة;706;0,208690511;4;7264;86;58;3383;3527
Gaafour;قعفور;Liste partisane;Ennahdha;حزب حركة النھضة;519;0,177314657;3;8989;205;74;2927;3206
Gafsa;قفصة;Liste partisane;Ennahdha;حزب حركة النھضة;3870;0,261398176;10;54251;469;185;14805;15459
Kalâat El Andalous;قلعة الأندلس;Liste partisane;Ennahdha;حزب حركة النھضة;1436;0,284807616;7;11075;143;65;5042;5250
Kalaat Senan;قلعة سنان;Liste partisane;Ennahdha;حزب حركة النھضة;766;0,278849654;5;7435;220;58;2747;3025
Kelibia;قليبية;Liste partisane;Ennahdha;حزب حركة النھضة;1262;0,132229673;4;24622;231;120;9544;9895
Ketana;كتانة;Liste partisane;Ennahdha;حزب حركة النھضة;973;0,504406428;9;7307;75;56;1929;2060
Kerker;كركر;Liste partisane;Ennahdha;حزب حركة النھضة;1397;0,409197422;7;7198;106;54;3414;3574
Kesra;كسرى;Liste partisane;Ennahdha;حزب حركة النھضة;825;0,340487;6;7794;207;72;2423;2702
Kondar;كندار;Liste partisane;Ennahdha;حزب حركة النھضة;1549;0,414281894;7;5973;237;67;3739;4043
Lala;لالة;Liste partisane;Ennahdha;حزب حركة النھضة;827;0,359878155;6;6793;81;44;2298;2423
Lamta;لمطة;Liste partisane;Ennahdha;حزب حركة النھضة;122;0,068965517;1;3190;44;16;1769;1829
Metline;ماتلين;Liste partisane;Ennahdha;حزب حركة النھضة;629;0,3282881;6;6634;86;62;1916;2064
Majel Bel Abbes;ماجل بلعباس;Liste partisane;Ennahdha;حزب حركة النھضة;1041;0,215305067;4;11045;197;65;4835;5097
Mareth;مارث;Liste partisane;Ennahdha;حزب حركة النھضة;2006;0,431397849;11;14699;185;106;4650;4941
Mateur;ماطر;Liste partisane;Ennahdha;حزب حركة النھضة;1373;0,283443435;7;19888;325;149;4844;5318
Medjez El Bab;مجاز الباب;Liste partisane;Ennahdha;حزب حركة النھضة;1603;0,266102258;7;18118;227;97;6024;6348
Mednine;مدنين;Liste partisane;Ennahdha;حزب حركة النھضة;7380;0,489098018;18;47023;382;238;15089;15709
Mornag;مرناق;Liste partisane;Ennahdha;حزب حركة النھضة;2296;0,368421053;9;19795;311;154;6232;6697
Mezzouna;مزونة;Liste partisane;Ennahdha;حزب حركة النھضة;1757;0,243824591;4;12420;185;88;7206;7479
Msaken;مساكن;Liste partisane;Ennahdha;حزب حركة النھضة;4877;0,418124143;12;34825;336;183;11664;12183
Matmata;مطماطة;Liste partisane;Ennahdha;حزب حركة النھضة;375;0,39766702;5;2561;46;32;943;1021
Matmata Djedaïda;مطماطة الجديدة;Liste partisane;Ennahdha;حزب حركة النھضة;770;0,341766534;6;7106;146;58;2253;2457
Megrine;مقرين;Liste partisane;Ennahdha;حزب حركة النھضة;1266;0,21075412;5;17014;179;132;6007;6318
Makthar;مكثر;Liste partisane;Ennahdha;حزب حركة النھضة;1328;0,310934207;7;12892;195;132;4271;4598
Melloulech;ملولش;Liste partisane;Ennahdha;حزب حركة النھضة;723;0,293544458;5;9656;137;54;2463;2654
Menzel El Habib;منزل الحبيب;Liste partisane;Ennahdha;حزب حركة النھضة;1260;0,470852018;8;6136;120;39;2676;2835
Menzel Mhiri;منزل المهيري;Liste partisane;Ennahdha;حزب حركة النھضة;828;0,300981461;6;6425;160;44;2751;2955
Menzel Bourguiba;منزل بورقيبة;Liste partisane;Ennahdha;حزب حركة النھضة;2778;0,363374755;11;29721;401;174;7645;8220
Menzel Bouzelfa;منزل بوزلفة;Liste partisane;Ennahdha;حزب حركة النھضة;1653;0,260848982;6;21036;244;154;6337;6735
Menzel Bouzaiane;منزل بوزيان;Liste partisane;Ennahdha;حزب حركة النھضة;882;0,128197674;3;16625;236;114;6880;7230
Menzel Temime;منزل تميم;Liste partisane;Ennahdha;حزب حركة النھضة;1488;0,193573566;6;25864;239;172;7687;8098
Menzel Jemil;منزل جميل;Liste partisane;Ennahdha;حزب حركة النھضة;1453;0,31676477;7;13072;190;77;4587;4854
Menzel Hor;منزل حر;Liste partisane;Ennahdha;حزب حركة النھضة;353;0,207403055;2;3827;73;33;1702;1808
Menzel Hayet;منزل حياة;Liste partisane;Ennahdha;حزب حركة النھضة;208;0,058459809;1;5918;97;51;3558;3706
Menzel Salem;منزل سالم;Liste partisane;Ennahdha;حزب حركة النھضة;216;0,42687747;5;905;45;7;506;558
Menzel Chaker;منزل شاكر;Liste partisane;Ennahdha;حزب حركة النھضة;834;0,336697618;6;8815;103;43;2477;2623
Menzel Abderrahmane;منزل عبد الرحمان;Liste partisane;Ennahdha;حزب حركة النھضة;1044;0,317421709;5;8139;171;68;3289;3528
Menzel Farsi;منزل فارسي;Liste partisane;Ennahdha;حزب حركة النھضة;213;0,19346049;2;1936;31;25;1101;1157
Menzel Kamel;منزل كامل;Liste partisane;Ennahdha;حزب حركة النھضة;620;0,35652674;4;3601;48;33;1739;1820
Menzel Ennour;منزل نور;Liste partisane;Ennahdha;حزب حركة النھضة;1650;0,533807829;10;5821;57;46;3091;3194
Manouba;منوبة;Liste partisane;Ennahdha;حزب حركة النھضة;1872;0,264145619;6;22044;156;136;7087;7379
Midoun;ميدون;Liste partisane;Ennahdha;حزب حركة النھضة;3531;0,413272472;12;24777;178;113;8544;8835
Nabeul;نابل;Liste partisane;Ennahdha;حزب حركة النھضة;3283;0,199380542;6;41924;494;327;16466;17287
Nebeur;نبر;Liste partisane;Ennahdha;حزب حركة النھضة;590;0,215407083;4;6889;152;82;2739;2973
Nasrallah;نصر الله;Liste partisane;Ennahdha;حزب حركة النھضة;1177;0,349985132;6;10945;269;73;3363;3705
Naâssen;نعسان;Liste partisane;Ennahdha;حزب حركة النھضة;1074;0,355982764;9;11803;156;69;3017;3242
Nefza;نفزة;Liste partisane;Ennahdha;حزب حركة النھضة;1460;0,251031637;6;15663;428;153;5816;6397
Nefta;نفطة;Liste partisane;Ennahdha;حزب حركة النھضة;1238;0,238122716;4;15608;143;78;5199;5420
Hebira;هبيرة;Liste partisane;Ennahdha;حزب حركة النھضة;994;0,516632017;9;5037;195;64;1924;2183
Hergla;هرقلة;Liste partisane;Ennahdha;حزب حركة النھضة;438;0,190269331;2;4431;129;46;2302;2477
Oued Ellil;وادي الليل;Liste partisane;Ennahdha;حزب حركة النھضة;3222;0,383388862;12;30108;424;163;8404;8991
Oued Meliz;وادي مليز;Liste partisane;Ennahdha;حزب حركة النھضة;940;0,293933709;5;8721;176;98;3198;3472
Oudref;وذرف;Liste partisane;Ennahdha;حزب حركة النھضة;1179;0,314148681;6;8083;79;60;3753;3892
Ouechtata;وشتاتة - الجميلة;Liste partisane;Ennahdha;حزب حركة النھضة;1207;0,318553708;6;11702;328;70;3789;4178
El Mida;الميدة;Liste partisane;La Rencontre Démocratique;اللقاء الدیمقراطي;319;0,068308351;2;12970;209;92;4670;4971
Hammam El Ghezaz;حمام الغزاز;Liste partisane;La Rencontre Démocratique;حزب اللقاء الدیمقراطي;155;0,069851284;1;5031;69;43;2219;2331
Nasrallah;نصر الله;Liste partisane;La Rencontre Démocratique;حزب اللقاء الدیمقراطي;149;0,044305679;1;10945;269;73;3363;3705
Essouassi;السواسي;Liste partisane;L'Initiative;حزب المبادرة;197;0,033192923;1;11967;193;113;5935;6241
Mohamedia;المحمدية;Liste partisane;L'Initiative;حزب المبادرة;914;0,123097643;4;26031;383;208;7425;8016
Hammam Sousse;حمام سوسة;Liste partisane;L'Initiative;حزب المبادرة;2536;0,252841476;6;26781;294;179;10030;10503
Fouchana;فوشانة;Liste partisane;L'Initiative;حزب المبادرة;1168;0,170039307;5;20443;297;142;6869;7308
Naâssen;نعسان;Liste partisane;L'Initiative;حزب المبادرة;320;0,106065628;3;11803;156;69;3017;3242
El Mida;الميدة;Liste partisane;L'Initiative;حزب المبادرة;612;0,131049251;3;12970;209;92;4670;4971
Souk Jedid;سوق الجديد;Liste partisane;L'Initiative;حزب المبادرة;658;0,127568825;2;13361;277;118;5158;5553
Akouda;أكودة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;431;0,079696746;2;12703;136;87;5408;5631
Bekalta;البقالطة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;117;0,026057906;0;8349;127;55;4490;4672
El Hajeb;الحاجب;Liste partisane;Machrouu Tounes;حركة مشروع تونس;152;0,065348237;1;7521;85;43;2326;2454
Hammamet;الحمامات;Liste partisane;Machrouu Tounes;حركة مشروع تونس;2017;0,13842564;4;43262;408;229;14571;15208
El Hencha;الحنشة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;417;0,091708819;2;16205;223;73;4547;4843
Den - Den;الدندان;Liste partisane;Machrouu Tounes;حركة مشروع تونس;714;0,162568306;4;16450;188;139;4392;4719
Dhehiba;الذهيبة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;196;0,259259259;3;2137;36;10;756;802
Redeyef;الرديف;Liste partisane;Machrouu Tounes;حركة مشروع تونس;204;0,03668405;1;13028;172;88;5561;5821
Errouhia;الروحية;Liste partisane;Machrouu Tounes;حركة مشروع تونس;236;0,072083079;1;7749;332;86;3274;3692
Ezzahra;الزهراء;Liste partisane;Machrouu Tounes;حركة مشروع تونس;341;0,043467177;1;20136;259;136;7845;8240
Chebba;الشابة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;185;0,023938923;0;16689;231;115;7728;8074
Chebika;الشبيكة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;570;0,146642655;3;8827;269;68;3887;4224
El Aroussa;العروسة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;60;0,03030303;0;4777;76;32;1980;2088
El Alaa;العلا;Liste partisane;Machrouu Tounes;حركة مشروع تونس;954;0,22927181;5;12298;387;97;4161;4645
El Aouabed El Khazanet;العوابد - الخزانات;Liste partisane;Machrouu Tounes;حركة مشروع تونس;175;0,03850385;1;12781;131;91;4545;4767
El Ksour;القصور;Liste partisane;Machrouu Tounes;حركة مشروع تونس;369;0,144084342;3;7777;165;75;2561;2801
La Mornaguia;المرناقية;Liste partisane;Machrouu Tounes;حركة مشروع تونس;190;0,040921818;1;14449;215;93;4643;4951
El Metouia;المطوية;Liste partisane;Machrouu Tounes;حركة مشروع تونس;452;0,117861799;2;7459;117;40;3835;3992
El Maagoula;المعقولة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;148;0,078306878;1;6848;158;79;1890;2127
Enfidha;النفيضة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;230;0,033145986;1;15065;375;140;6939;7454
Ennour;النور;Liste partisane;Machrouu Tounes;حركة مشروع تونس;344;0,057553957;1;22947;282;119;5977;6378
Utique;أوتيك;Liste partisane;Machrouu Tounes;حركة مشروع تونس;227;0,077474403;2;7489;143;79;2930;3152
Le Bardo;باردو;Liste partisane;Machrouu Tounes;حركة مشروع تونس;774;0,059156221;2;44901;329;209;13084;13622
Belkhir;بلخير;Liste partisane;Machrouu Tounes;حركة مشروع تونس;179;0,07473904;1;7800;110;46;2395;2551
Beni Hassen;بني حسان;Liste partisane;Machrouu Tounes;حركة مشروع تونس;302;0,103142077;1;5127;101;33;2928;3062
Bahra;بهرة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;40;0,037771483;0;2799;115;24;1059;1198
Testour;تستور;Liste partisane;Machrouu Tounes;حركة مشروع تونس;165;0,035121328;1;13521;220;127;4698;5045
Djedeliane;جدليان;Liste partisane;Machrouu Tounes;حركة مشروع تونس;194;0,059218559;1;6741;221;48;3276;3545
Jammel;جمال;Liste partisane;Machrouu Tounes;حركة مشروع تونس;273;0,030903328;1;22244;194;75;8834;9103
Jendouba;جندوبة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;351;0,034560851;1;49945;579;303;10156;11038
Joumine;جومين;Liste partisane;Machrouu Tounes;حركة مشروع تونس;89;0,01940266;0;11736;416;130;4587;5133
Hamet Ejrid;حامة الجريد;Liste partisane;Machrouu Tounes;حركة مشروع تونس;328;0,207726409;2;4932;103;47;1579;1729
Hammam Sousse;حمام سوسة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;677;0,067497507;2;26781;294;179;10030;10503
Dar Allouch;دار علوش;Liste partisane;Machrouu Tounes;حركة مشروع تونس;298;0,121187475;1;3759;83;20;2459;2562
Degach;دقاش;Liste partisane;Machrouu Tounes;حركة مشروع تونس;204;0,049085659;1;12823;157;88;4156;4401
Ras Jebel;رأس الجبل;Liste partisane;Machrouu Tounes;حركة مشروع تونس;503;0,102111246;3;15724;232;107;4926;5265
Rahal;رحال;Liste partisane;Machrouu Tounes;حركة مشروع تونس;158;0,071785552;1;4571;56;63;2201;2320
Rakada;رقادة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;656;0,230498946;4;8489;153;60;2846;3059
Remada;رمادة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;86;0,068580542;1;4292;63;27;1254;1344
Raoued;روّاد;Liste partisane;Machrouu Tounes;حركة مشروع تونس;878;0,070715206;3;43079;305;258;12416;12979
Zeramdine;زرمدين;Liste partisane;Machrouu Tounes;حركة مشروع تونس;778;0,217683268;4;7449;121;48;3574;3743
Zahret Medien;زهرة مدين;Liste partisane;Machrouu Tounes;حركة مشروع تونس;387;0,131364562;2;9975;258;64;2946;3268
Sbeitla;سبيطلة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;587;0,080642945;2;18341;351;151;7279;7781
Soliman;سليمان;Liste partisane;Machrouu Tounes;حركة مشروع تونس;647;0,071531233;2;18888;272;136;9045;9453
Souk Essebt;سوق السبت;Liste partisane;Machrouu Tounes;حركة مشروع تونس;634;0,415465269;8;5202;98;39;1526;1663
Sidi Jadidi;سيدي الجديدي;Liste partisane;Machrouu Tounes;حركة مشروع تونس;179;0,094409283;2;5483;86;54;1896;2036
Sidi Bouali;سيدي بوعلي;Liste partisane;Machrouu Tounes;حركة مشروع تونس;172;0,037383178;1;9478;159;72;4601;4832
Sidi Hassine;سيدي حسين;Liste partisane;Machrouu Tounes;حركة مشروع تونس;313;0,036897324;1;38119;392;296;8484;9172
Chaouachi;شواشي;Liste partisane;Machrouu Tounes;حركة مشروع تونس;582;0,286135693;5;5833;197;51;2034;2282
Chihia;شيحية;Liste partisane;Machrouu Tounes;حركة مشروع تونس;610;0,07903602;2;20091;184;115;7718;8017
Teboulba;طبلبة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;195;0,02553693;0;17748;170;79;7636;7885
Tina;طينة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;253;0,047583224;1;17393;216;111;5317;5644
Amiret Touazra;عميرة التوازرة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;105;0,062056738;1;3144;39;57;1692;1788
Ghezala;غزالة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;400;0,204185809;5;10562;237;64;1959;2260
Foussana;فوسانة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;712;0,103608847;3;16494;329;101;6872;7302
Fouchana;فوشانة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;277;0,040326103;0;20443;297;142;6869;7308
Goubellat;قبلاط;Liste partisane;Machrouu Tounes;حركة مشروع تونس;220;0,170146945;3;5579;67;72;1293;1432
Korba;قربة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;1068;0,115897992;4;24931;303;163;9215;9681
Ksar Hellal;قصر هلال;Liste partisane;Machrouu Tounes;حركة مشروع تونس;280;0,025118866;0;26671;289;136;11147;11572
Kalaat Senan;قلعة سنان;Liste partisane;Machrouu Tounes;حركة مشروع تونس;368;0,133964325;3;7435;220;58;2747;3025
Kelibia;قليبية;Liste partisane;Machrouu Tounes;حركة مشروع تونس;255;0,026718357;0;24622;231;120;9544;9895
Kondar;كندار;Liste partisane;Machrouu Tounes;حركة مشروع تونس;235;0,06285103;1;5973;237;67;3739;4043
Lala;لالة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;146;0,063533507;1;6793;81;44;2298;2423
Mateur;ماطر;Liste partisane;Machrouu Tounes;حركة مشروع تونس;454;0,093724195;2;19888;325;149;4844;5318
Medjez El Bab;مجاز الباب;Liste partisane;Machrouu Tounes;حركة مشروع تونس;378;0,062749004;1;18118;227;97;6024;6348
Mornag;مرناق;Liste partisane;Machrouu Tounes;حركة مشروع تونس;375;0,060173299;2;19795;311;154;6232;6697
Mezzouna;مزونة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;76;0,010546767;0;12420;185;88;7206;7479
Menzel Bouzelfa;منزل بوزلفة;Liste partisane;Machrouu Tounes;حركة مشروع تونس;397;0,062647941;2;21036;244;154;6337;6735
Nebeur;نبر;Liste partisane;Machrouu Tounes;حركة مشروع تونس;47;0,017159547;0;6889;152;82;2739;2973
Mednine;مدنين;Liste partisane;Mouvement De La Lutte Patriotique;النضال الوطني;703;0,046590231;2;47023;382;238;15089;15709
Foussana;فوسانة;Liste partisane;Mouvement Démocrate;الحركة الدیمقراطیة;733;0,106664726;3;16494;329;101;6872;7302
Menzel Bouzaiane;منزل بوزيان;Liste partisane;Mouvement Démocrate socialiste;حركة الدیمقراطیین الاجتماعیین;178;0,025872093;0;16625;236;114;6880;7230
El Ahouaz Lassouda;لسودة;Liste partisane;Mouvement Du Peuple;حركة الشعب;188;0,084078712;2;8595;77;44;2236;2357
El Battane;البطان;Liste partisane;Mouvement Du Peuple;حركة الشعب;458;0,232251521;4;8969;145;101;1972;2218
Cité Ettadhamen;التضامن;Liste partisane;Mouvement Du Peuple;حركة الشعب;361;0,05436747;2;35966;402;218;6640;7260
Redeyef;الرديف;Liste partisane;Mouvement Du Peuple;حركة الشعب;407;0,073188275;2;13028;172;88;5561;5821
Errouhia;الروحية;Liste partisane;Mouvement Du Peuple;حركة الشعب;341;0,10415394;2;7749;332;86;3274;3692
Sbikha;السبيخة;Liste partisane;Mouvement Du Peuple;حركة الشعب;322;0,052460085;1;17576;359;83;6138;6580
Esslouguia;السلوقية;Liste partisane;Mouvement Du Peuple;حركة الشعب;562;0,415988157;5;3172;30;31;1351;1412
El Aouabed El Khazanet;العوابد - الخزانات;Liste partisane;Mouvement Du Peuple;حركة الشعب;240;0,052805281;1;12781;131;91;4545;4767
El Ain;العين;Liste partisane;Mouvement Du Peuple;حركة الشعب;549;0,051905077;1;28468;247;196;10577;11020
El Ksar;القصر;Liste partisane;Mouvement Du Peuple;حركة الشعب;431;0,093695652;2;12791;192;70;4600;4862
El Guetar;القطار;Liste partisane;Mouvement Du Peuple;حركة الشعب;298;0,071223709;1;10813;200;60;4184;4444
Meknassy;المكناسي;Liste partisane;Mouvement Du Peuple;حركة الشعب;813;0,1626;3;14929;217;78;5000;5295
Monastir;المنستير;Liste partisane;Mouvement Du Peuple;حركة الشعب;179;0,010253766;0;46430;384;209;17457;18050
Ennadhour Sidi Ali Belabed;الناظور - سيدي علي بلعابد;Liste partisane;Mouvement Du Peuple;حركة الشعب;357;0,114975845;2;8968;90;56;3105;3251
Beja;باجة;Liste partisane;Mouvement Du Peuple;حركة الشعب;493;0,047001621;2;41646;586;314;10489;11389
Borj El Amri;برج العامري;Liste partisane;Mouvement Du Peuple;حركة الشعب;152;0,057663126;1;9449;180;56;2636;2872
Bennour;الفائض بنور;Liste partisane;Mouvement Du Peuple;حركة الشعب;365;0,132823872;2;11866;149;61;2748;2958
Bir El Hafey;بئر الحفي;Liste partisane;Mouvement Du Peuple;حركة الشعب;669;0,151425985;4;15326;147;64;4418;4629
Jendouba;جندوبة;Liste partisane;Mouvement Du Peuple;حركة الشعب;1331;0,131055534;5;49945;579;303;10156;11038
Houmt Souk;حومة السوق;Liste partisane;Mouvement Du Peuple;حركة الشعب;485;0,038063098;1;33306;260;166;12742;13168
Degach;دقاش;Liste partisane;Mouvement Du Peuple;حركة الشعب;724;0,174205967;3;12823;157;88;4156;4401
Sidi Bouzid;سيدي بوزيد;Liste partisane;Mouvement Du Peuple;حركة الشعب;666;0,066686693;2;41689;295;132;9987;10414
Sfax;صفاقس;Liste partisane;Mouvement Du Peuple;حركة الشعب;732;0,016107028;0;148647;1007;784;45446;47237
Tebourba;طبربة;Liste partisane;Mouvement Du Peuple;حركة الشعب;1117;0,202318421;5;21275;365;142;5521;6028
Tabarka;طبرقة;Liste partisane;Mouvement Du Peuple;حركة الشعب;344;0,071786311;2;17075;312;74;4792;5178
Gafsa;قفصة;Liste partisane;Mouvement Du Peuple;حركة الشعب;350;0,023640662;0;54251;469;185;14805;15459
Mareth;مارث;Liste partisane;Mouvement Du Peuple;حركة الشعب;1169;0,251397849;6;14699;185;106;4650;4941
Mednine;مدنين;Liste partisane;Mouvement Du Peuple;حركة الشعب;735;0,048710982;2;47023;382;238;15089;15709
Manouba;منوبة;Liste partisane;Mouvement Du Peuple;حركة الشعب;233;0,032877099;1;22044;156;136;7087;7379
Midoun;ميدون;Liste partisane;Mouvement Du Peuple;حركة الشعب;619;0,072448502;2;24777;178;113;8544;8835
Nefza;نفزة;Liste partisane;Mouvement Du Peuple;حركة الشعب;771;0,132565337;3;15663;428;153;5816;6397
Oued Ellil;وادي الليل;Liste partisane;Mouvement Du Peuple;حركة الشعب;212;0,025226083;0;30108;424;163;8404;8991
Ouechtata;وشتاتة - الجميلة;Liste partisane;Mouvement Du Peuple;حركة الشعب;935;0,246766957;4;11702;328;70;3789;4178
El Faouar;الفوار;Liste partisane;Mouvement Du Peuple;حركة الشعب;986;0,190789474;3;9566;215;75;5168;5458
El Ksour;القصور;Liste partisane;Mouvement Du Peuple;حركة الشعب;306;0,119484576;2;7777;165;75;2561;2801
Béchri Fatnassa;بشري فطناسة;Liste partisane;Mouvement Du Peuple;حركة الشعب;506;0,230944774;3;5902;121;65;2191;2377
Douz;دوز;Liste partisane;Mouvement Du Peuple;حركة الشعب;1980;0,272764844;7;22819;226;132;7259;7617
Rejim Mâatoug;رجيم معتوق;Liste partisane;Mouvement Du Peuple;حركة الشعب;83;0,069747899;1;1958;26;25;1190;1241
Souk El Ahed;سوق الأحد;Liste partisane;Mouvement Du Peuple;حركة الشعب;1627;0,4628734;8;12666;158;93;3515;3766
Kebili;قبلي;Liste partisane;Mouvement Du Peuple;حركة الشعب;862;0,127270043;3;23887;231;175;6773;7179
Ajim;اجيم;Liste partisane;Nidaa Tounes;حركة نداء تونس;499;0,135487374;3;10177;162;80;3683;3925
Ariana;أريانة;Liste partisane;Nidaa Tounes;حركة نداء تونس;4846;0,164987063;6;76783;456;335;29372;30163
