mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;porcentage_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Ghardimaou;غار الدماء;Liste partisane;AL IRADA;حراك تونس الارادة;188;0,032032714;1;20171;289;174;5869;6332
Ghannouch;غنوش;Liste partisane;AL IRADA;حراك تونس الارادة;353;0,101787774;2;12675;124;60;3468;3652
Feriana;فريانة;Liste partisane;AL IRADA;حراك تونس الارادة;472;0,087326549;2;16744;246;105;5405;5756
Gabes;قابس;Liste partisane;AL IRADA;حراك تونس الارادة;466;0,032224604;1;51010;261;251;14461;14973
Goubellat;قبلاط;Liste partisane;AL IRADA;حراك تونس الارادة;120;0,092807425;2;5579;67;72;1293;1432
Kebili;قبلي;Liste partisane;AL IRADA;حراك تونس الارادة;328;0,04842758;1;23887;231;175;6773;7179
Gafsa;قفصة;Liste partisane;AL IRADA;حراك تونس الارادة;164;0,011077339;0;54251;469;185;14805;15459
Mareth;مارث;Liste partisane;AL IRADA;حراك تونس الارادة;214;0,046021505;1;14699;185;106;4650;4941
Mednine;مدنين;Liste partisane;AL IRADA;حراك تونس الارادة;941;0,062363311;2;47023;382;238;15089;15709
Mezzouna;مزونة;Liste partisane;AL IRADA;حراك تونس الارادة;564;0,07826811;1;12420;185;88;7206;7479
Midoun;ميدون;Liste partisane;AL IRADA;حراك تونس الارادة;1050;0,122893258;4;24777;178;113;8544;8835
Nefta;نفطة;Liste partisane;AL IRADA;حراك تونس الارادة;624;0,120023081;2;15608;143;78;5199;5420
Korba;قربة;Liste partisane;AL IRADA;حراك تونس الارادة;462;0,050135648;2;24931;303;163;9215;9681
Ariana;أريانة;Liste partisane;Beni Watani;بني وطني;1091;0,037144219;1;76783;456;335;29372;30163
Beja;باجة;Liste partisane;Beni Watani;بني وطني;263;0,025073887;0;41646;586;314;10489;11389
Le Bardo;باردو;Liste partisane;Beni Watani;بني وطني;1105;0,084454295;2;44901;329;209;13084;13622
Bizerte;بنزرت;Liste partisane;Beni Watani;بني وطني;791;0,041712809;2;80820;950;445;18963;20358
Zahret Medien;زهرة مدين;Liste partisane;Beni Watani;بني وطني;116;0,039375424;1;9975;258;64;2946;3268
Sousse;سوسة;Liste partisane;Beni Watani;بني وطني;1488;0,049580168;2;102744;921;561;30012;31494
Sfax;صفاقس;Liste partisane;Beni Watani;بني وطني;3549;0,078092681;4;148647;1007;784;45446;47237
Ksibet Thrayet;قصيبة - الثريات;Liste partisane;Beni Watani;بني وطني;337;0,110564304;2;6237;123;42;3048;3213
Menzel Bourguiba;منزل بورقيبة;Liste partisane;Beni Watani;بني وطني;357;0,046697188;1;29721;401;174;7645;8220
El Bassatine;البساتين;Liste partisane;Courant Démocrate;التیار الدمقراطي;299;0,147946561;3;5549;144;78;2021;2243
Cité Ettadhamen;التضامن;Liste partisane;Courant Démocrate;التیار الدمقراطي;855;0,12876506;4;35966;402;218;6640;7260
Djedaïda;الجديدة;Liste partisane;Courant Démocrate;التیار الدمقراطي;469;0,071439452;2;20932;303;157;6565;7025
Hammamet;الحمامات;Liste partisane;Courant Démocrate;التیار الدمقراطي;493;0,033834328;1;43262;408;229;14571;15208
Rejiche;الرجيش;Liste partisane;Courant Démocrate;التیار الدمقراطي;176;0,060752503;1;5454;74;53;2897;3024
Ezzriba;الزريبة;Liste partisane;Courant Démocrate;التیار الدمقراطي;243;0,045378151;1;12590;268;112;5355;5735
Chebba;الشابة;Liste partisane;Courant Démocrate;التیار الدمقراطي;595;0,076992754;2;16689;231;115;7728;8074
El Ayoun;العيون;Liste partisane;Courant Démocrate;التیار الدمقراطي;225;0,05171225;1;8435;207;63;4351;4621
Kasserine;القصرين;Liste partisane;Courant Démocrate;التیار الدمقراطي;815;0,136356031;3;19675;204;83;5977;6264
Kalaat Khasbat;القلعة الخصباء;Liste partisane;Courant Démocrate;التیار الدمقراطي;236;0,115178136;2;3766;136;43;2049;2228
Kairouan;القيروان;Liste partisane;Courant Démocrate;التیار الدمقراطي;1555;0,082712766;3;71387;636;310;18800;19746
Mohamedia;المحمدية;Liste partisane;Courant Démocrate;التیار الدمقراطي;552;0,074343434;2;26031;383;208;7425;8016
La Mornaguia;المرناقية;Liste partisane;Courant Démocrate;التیار الدمقراطي;457;0,098427741;2;14449;215;93;4643;4951
El Mourouj;المروج;Liste partisane;Courant Démocrate;التیار الدمقراطي;2214;0,151436389;6;50600;325;195;14620;15140
Mahdia;المهدية;Liste partisane;Courant Démocrate;التیار الدمقراطي;759;0,072659391;2;28714;287;181;10446;10914
Enfidha;النفيضة;Liste partisane;Courant Démocrate;التیار الدمقراطي;335;0,04827785;1;15065;375;140;6939;7454
Ennour;النور;Liste partisane;Courant Démocrate;التیار الدمقراطي;1154;0,193073448;5;22947;282;119;5977;6378
Moulares;أم العرائس;Liste partisane;Courant Démocrate;التیار الدمقراطي;636;0,094180364;2;16004;256;102;6753;7111
Ouled Chamekh;أولاد شامخ;Liste partisane;Courant Démocrate;التیار الدمقراطي;194;0,049401579;1;9706;236;80;4710;5026
Borj El Amri;برج العامري;Liste partisane;Courant Démocrate;التیار الدمقراطي;455;0,172610015;3;9449;180;56;2636;2872
Ben Arous;بن عروس;Liste partisane;Courant Démocrate;التیار الدمقراطي;1399;0,117770856;4;46708;536;246;11879;12661
