mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Kairouan;القيروان;Liste partisane;Nidaa Tounes;حركة نداء تونس;3504;7;71387;636;310;18800;19746
Le Kef;الكاف;Liste partisane;Nidaa Tounes;حركة نداء تونس;2889;9;35526;456;192;9952;10600
Le Kram;الكرم;Liste partisane;Nidaa Tounes;حركة نداء تونس;2918;11;30179;346;268;7559;8173
El Krib;الكريب;Liste partisane;Nidaa Tounes;حركة نداء تونس;577;2;9651;239;96;4722;5057
Metlaoui;المتلوي;Liste partisane;Nidaa Tounes;حركة نداء تونس;1118;3;21966;260;103;9721;10084
Mahrés;المحرص;Liste partisane;Nidaa Tounes;حركة نداء تونس;1337;6;16606;145;74;5269;5488
Mohamedia;المحمدية;Liste partisane;Nidaa Tounes;حركة نداء تونس;1136;5;26031;383;208;7425;8016
El Marja;المرجى;Liste partisane;Nidaa Tounes;حركة نداء تونس;466;7;2520;88;45;796;929
La Marsa;المرسى;Liste partisane;Nidaa Tounes;حركة نداء تونس;3262;5;51807;355;266;18999;19620
La Mornaguia;المرناقية;Liste partisane;Nidaa Tounes;حركة نداء تونس;832;4;14449;215;93;4643;4951
El Mourouj;المروج;Liste partisane;Nidaa Tounes;حركة نداء تونس;2249;6;50600;325;195;14620;15140
El Messaadine;المسعدين;Liste partisane;Nidaa Tounes;حركة نداء تونس;266;2;5363;48;38;2512;2598
El Masdour Menzel Harb;مصدور - منزل حرب;Liste partisane;Nidaa Tounes;حركة نداء تونس;795;6;2453;55;22;1702;1779
El Metouia;المطوية;Liste partisane;Nidaa Tounes;حركة نداء تونس;278;1;7459;117;40;3835;3992
Mdhila;المظيلة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1225;5;8969;176;47;4274;4497
El Maagoula;المعقولة;Liste partisane;Nidaa Tounes;حركة نداء تونس;631;6;6848;158;79;1890;2127
El Maamoura;المعمورة;Liste partisane;Nidaa Tounes;حركة نداء تونس;149;1;4687;67;42;3014;3123
Meknassy;المكناسي;Liste partisane;Nidaa Tounes;حركة نداء تونس;759;3;14929;217;78;5000;5295
Moknine;المكنين;Liste partisane;Nidaa Tounes;حركة نداء تونس;2424;8;25874;229;99;9781;10109
Monastir;المنستير;Liste partisane;Nidaa Tounes;حركة نداء تونس;2806;5;46430;384;209;17457;18050
Mnihla;المنيهلة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1591;7;30959;276;214;6959;7449
Mahdia;المهدية;Liste partisane;Nidaa Tounes;حركة نداء تونس;1733;5;28714;287;181;10446;10914
El Mida;الميدة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1658;9;12970;209;92;4670;4971
Ennadhour;الناظور;Liste partisane;Nidaa Tounes;حركة نداء تونس;1622;5;16444;360;171;7603;8134
Ennadhour Sidi Ali Belabed;الناظور - سيدي علي بلعابد;Liste partisane;Nidaa Tounes;حركة نداء تونس;619;3;8968;90;56;3105;3251
Ennasr;النصر;Liste partisane;Nidaa Tounes;حركة نداء تونس;731;5;8129;74;53;2542;2669
Enfidha;النفيضة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1248;4;15065;375;140;6939;7454
Ennour;النور;Liste partisane;Nidaa Tounes;حركة نداء تونس;1907;8;22947;282;119;5977;6378
El Haouaria;الهوارية;Liste partisane;Nidaa Tounes;حركة نداء تونس;1200;7;13798;192;101;3894;4187
El Ouerdanine;الوردانين;Liste partisane;Nidaa Tounes;حركة نداء تونس;1608;6;10018;178;111;4902;5191
Oueslatia;الوسلاتية;Liste partisane;Nidaa Tounes;حركة نداء تونس;1040;5;14209;355;107;4932;5394
Moulares;أم العرائس;Liste partisane;Nidaa Tounes;حركة نداء تونس;1180;3;16004;256;102;6753;7111
Utique;أوتيك;Liste partisane;Nidaa Tounes;حركة نداء تونس;713;4;7489;143;79;2930;3152
Ouled Chamekh;أولاد شامخ;Liste partisane;Nidaa Tounes;حركة نداء تونس;990;4;9706;236;80;4710;5026
Beja;باجة;Liste partisane;Nidaa Tounes;حركة نداء تونس;2035;6;41646;586;314;10489;11389
Le Bardo;باردو;Liste partisane;Nidaa Tounes;حركة نداء تونس;2534;6;44901;329;209;13084;13622
Baten Elghezel;باطن الغزال;Liste partisane;Nidaa Tounes;حركة نداء تونس;444;3;7016;127;63;2476;2666
Borj El Amri;برج العامري;Liste partisane;Nidaa Tounes;حركة نداء تونس;1158;8;9449;180;56;2636;2872
Bargou;برقو;Liste partisane;Nidaa Tounes;حركة نداء تونس;145;1;6758;160;43;2971;3174
Béchri Fatnassa;بشري فطناسة;Liste partisane;Nidaa Tounes;حركة نداء تونس;471;3;5902;121;65;2191;2377
Bchelli;بشلي - جرسين - البليدات;Liste partisane;Nidaa Tounes;حركة نداء تونس;158;1;7042;79;44;3217;3340
Belkhir;بلخير;Liste partisane;Nidaa Tounes;حركة نداء تونس;487;4;7800;110;46;2395;2551
Balta Bouawene;بلطة بوعوان;Liste partisane;Nidaa Tounes;حركة نداء تونس;1363;12;12523;225;101;2745;3071
Ben Arous;بن عروس;Liste partisane;Nidaa Tounes;حركة نداء تونس;2647;7;46708;536;246;11879;12661
Ben Guerdane;بن قردان;Liste partisane;Nidaa Tounes;حركة نداء تونس;408;1;32112;311;152;12290;12753
Benen Bodher;بنان - بوضر;Liste partisane;Nidaa Tounes;حركة نداء تونس;759;4;6930;85;59;3753;3897
Bembla;بنبلة - المنارة;Liste partisane;Nidaa Tounes;حركة نداء تونس;910;5;6930;118;52;3623;3793
Bizerte;بنزرت;Liste partisane;Nidaa Tounes;حركة نداء تونس;3223;0;80820;950;445;18963;20358
Bennour;الفائض بنور;Liste partisane;Nidaa Tounes;حركة نداء تونس;878;6;11866;149;61;2748;2958
Beni Hassen;بني حسان;Liste partisane;Nidaa Tounes;حركة نداء تونس;428;2;5127;101;33;2928;3062
Beni Khedech;بني خداش;Liste partisane;Nidaa Tounes;حركة نداء تونس;1037;6;14709;186;97;4446;4729
Beni Khalled;بني خلاد;Liste partisane;Nidaa Tounes;حركة نداء تونس;962;5;14529;189;77;4514;4780
Beni Khiar;بني خيار;Liste partisane;Nidaa Tounes;حركة نداء تونس;1892;7;13548;211;153;6273;6637
Beni M'tir;بني مطير;Liste partisane;Nidaa Tounes;حركة نداء تونس;401;4;2793;85;15;1142;1242
Bahra;بهرة;Liste partisane;Nidaa Tounes;حركة نداء تونس;416;5;2799;115;24;1059;1198
Bou Hjar;بوحجر;Liste partisane;Nidaa Tounes;حركة نداء تونس;392;2;3396;56;27;1896;1979
Bouhajla;بوحجلة;Liste partisane;Nidaa Tounes;حركة نداء تونس;1412;6;23521;306;81;6452;6839
Bourouis;بورويس;Liste partisane;Nidaa Tounes;حركة نداء تونس;627;4;6659;136;130;2823;3089
Bouzguam;بوزقام;Liste partisane;Nidaa Tounes;حركة نداء تونس;132;1;7039;130;71;3717;3918
Bou Salem;بوسالم;Liste partisane;Nidaa Tounes;حركة نداء تونس;1763;7;20587;375;104;6123;6602
Bouchemma;بوشمة;Liste partisane;Nidaa Tounes;حركة نداء تونس;245;2;6133;80;44;2313;2437
Bou Arada;بوعرادة;Liste partisane;Nidaa Tounes;حركة نداء تونس;727;4;9568;170;84;3143;3397
Bou Argoub;بوعرقوب;Liste partisane;Nidaa Tounes;حركة نداء تونس;1376;6;16170;266;99;5526;5891
Boughrara;بوغرارة;Liste partisane;Nidaa Tounes;حركة نداء تونس;590;3;3567;66;32;2202;2300
Bouficha;بوفيشة;Liste partisane;Nidaa Tounes;حركة نداء تونس;2052;8;12531;283;109;6243;6635
Boumerdes;بومرداس;Liste partisane;Nidaa Tounes;حركة نداء تونس;526;2;7255;133;52;3929;4114
Bou Mhel El Bassatine;بومهل البساتين;Liste partisane;Nidaa Tounes;حركة نداء تونس;1265;5;18334;201;123;5891;6215
Bir El Hafey;بئر الحفي;Liste partisane;Nidaa Tounes;حركة نداء تونس;271;1;15326;147;64;4418;4629
Bir Ali Ben Khelifa;بئر علي بن خليفة;Liste partisane;Nidaa Tounes;حركة نداء تونس;712;4;14157;151;53;4579;4783
