mun_fr;map_names_ar;Type de liste (fr);nom_liste_fr;nom_liste_ar;votes_obtenus;sieges_obtenus;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Tazarka;تازركة;Liste partisane;Ennahdha;حزب حركة النھضة;864;4;5385;103;60;3009;3172
Takelsa;تاكلسة;Liste partisane;Ennahdha;حزب حركة النھضة;1574;5;13013;246;74;5562;5882
Thala;تالة;Liste partisane;Ennahdha;حزب حركة النھضة;1173;7;16363;362;102;4299;4763
Teboursouk;تبرسق;Liste partisane;Ennahdha;حزب حركة النھضة;628;4;10219;276;70;3011;3357
Tazaghrane;تزغران - زاوية المقايز;Liste partisane;Ennahdha;حزب حركة النھضة;986;5;8277;196;101;3791;4088
Testour;تستور;Liste partisane;Ennahdha;حزب حركة النھضة;1119;6;13521;220;127;4698;5045
Tataouine;تطاوين;Liste partisane;Ennahdha;حزب حركة النھضة;4099;14;37780;211;153;8800;9164
Tataouine Sud;تطاوين الجنوبية;Liste partisane;Ennahdha;حزب حركة النھضة;402;4;3997;52;18;1266;1336
Telept;تلابت;Liste partisane;Ennahdha;حزب حركة النھضة;305;2;8201;152;35;2767;2954
Talalsa;تلالسة;Liste partisane;Ennahdha;حزب حركة النھضة;496;6;5672;122;47;1580;1749
Tameghza;تمغزة;Liste partisane;Ennahdha;حزب حركة النھضة;1202;6;4381;101;36;2239;2376
Tozeur;توزر;Liste partisane;Ennahdha;حزب حركة النھضة;1967;6;27942;279;167;8453;8899
Tunis;تونس;Liste partisane;Ennahdha;حزب حركة النھضة;25665;21;328134;2831;2058;79569;84458
Tibar;تيبار;Liste partisane;Ennahdha;حزب حركة النھضة;517;7;5281;134;33;1319;1486
Tinja;تينجة;Liste partisane;Ennahdha;حزب حركة النھضة;1083;6;10112;213;105;3284;3602
Jebel Oust;جبل الوسط;Liste partisane;Ennahdha;حزب حركة النھضة;133;1;4271;67;41;2587;2695
Djebeniana;جبنيانة;Liste partisane;Ennahdha;حزب حركة النھضة;1640;9;14702;224;101;4185;4510
Djedeliane;جدليان;Liste partisane;Ennahdha;حزب حركة النھضة;295;2;6741;221;48;3276;3545
Zarzis;جرجيس;Liste partisane;Ennahdha;حزب حركة النھضة;3427;10;21168;220;105;8333;8658
