mun_fr;mun_ar;total_inscrits;votes_nul;votes_blancs;total_votes_valide;total_votes
Souk El Ahed;سوق الأحد;12666;158;93;3515;3766
Souk Jedid;سوق الجديد;13361;277;118;5158;5553
Souk Essebt;سوق السبت;5202;98;39;1526;1663
Sidi Smail;سيدي إسماعيل;3730;122;19;1359;1500
Sidi Jadidi;سيدي الجديدي;5483;86;54;1896;2036
Sidi El Heni;سيدي الهاني;5701;152;80;2155;2387
Sidi Bennour;سيدي بنور;2012;23;21;1146;1190
Sidi Boubaker;سيدي بوبكر;2587;69;21;1689;1779
Sidi Bouzid;سيدي بوزيد;41689;295;132;9987;10414
Sidi Bou Said;سيدي بوسعيد;5336;64;42;2728;2834
Sidi Bouali;سيدي بوعلي;9478;159;72;4601;4832
Sidi Thabet;سيدي ثابت;10100;147;60;3719;3926
Sidi Hassine;سيدي حسين;38119;392;296;8483;9171
Sidi Zid;سيدي زيد - أولاد مولاهم;8200;148;81;4275;4504
Sidi Ameur;سيدي عامر- مسجد عيسى;4440;49;34;2534;2617
Sidi Alouane;سيدي علوان;10678;178;117;2430;2725
Sidi Ali Ben Aoun;سيدي علي بن عون;8821;125;40;2308;2473
Sidi Aich;سيدي عيش;5897;131;34;3309;3474
Sidi Makhlouf;سيدي مخلوف;12959;149;58;3255;3462
Sidi Morched;سيدي مرشد;7352;161;50;2077;2288
Sisseb Edheriaat;سيسب الدريعات;9702;141;64;3384;3589
Chorbane;شربان;11395;296;110;4272;4678
Chott Mariem;شط مريم;3376;70;41;1545;1656
Chenini Nahal;شنني - نحال;9987;102;65;2741;2908
Chaouachi;شواشي;5833;197;51;2034;2282
Chihia;شيحية;20091;184;115;7718;8017
Sfax;صفاقس;148647;1007;784;45446;47237
Saouaf;صواف;7109;228;79;2784;3091
Sayada;صيادة;7951;109;57;3681;3847
Tebourba;طبربة;21275;365;142;5521;6028
Tabarka;طبرقة;17075;312;74;4792;5178
Teboulba;طبلبة;17748;170;79;7636;7885
Teboulbou;طبلبو;11479;136;70;4445;4651
Touza;طوزة;4059;27;9;2009;2045
Tina;طينة;17393;216;111;5317;5644
Abida;عبيدة;6392;175;55;3275;3505
Agareb;عقارب;20009;298;152;7444;7894
Amiret Touazra;عميرة التوازرة;3144;39;57;1692;1788
Amiret El Hojjaj;عميرة الحجاج;3854;65;33;1299;1397
Amiret El Fehoul;عميرة الفحول;2742;55;31;1352;1438
Ousja;عوسجة;5035;88;58;2415;2561
El Ain El Beidha;عين البيضاء;6984;166;67;2626;2859
Ain El Khemaissia;عين الخمايسية;6610;115;67;2586;2768
Ain Essobh Nadhour;عين الصبح - الناظور;8679;211;107;2927;3245
Ain Jelloula;عين جلولة;3894;89;38;1462;1589
Ain Draham;عين دراهم;13439;284;110;3140;3534
Ghardimaou;غار الدماء;20171;289;174;5869;6332
Ghar El Melh;غار الملح;4539;57;57;1655;1769
Ghezala;غزالة;10562;237;64;1959;2260
Ghomrassen;غمراسن;7818;71;39;2166;2276
Ghenada;غنادة;2720;72;28;1857;1957
Ghannouch;غنوش;12675;124;60;3468;3652
Fernana;فرنانة;12438;305;81;2848;3234
Feriana;فريانة;16744;246;105;5405;5756
Fondouk Jedidi;فندق الجديد - سلتان;11054;210;66;4565;4841
Foussana;فوسانة;16494;329;101;6872;7302
Fouchana;فوشانة;20443;297;142;6869;7308
Gabes;قابس;51010;261;251;14461;14973
Goubellat;قبلاط;5579;67;72;1293;1432
Kebili;قبلي;23887;231;175;6773;7179
Korba;قربة;24931;303;163;9215;9681
Korbous;قربص;1966;39;19;1179;1237
Carthage;قرطاج;15743;171;131;5375;5677
Kerkennah;قرقنة;9202;73;55;3510;3638
Grombalia;قرمبالية;23508;275;174;7787;8236
Gremda;قرمدة;17166;116;92;8116;8324
Ksar Hellal;قصر هلال;26671;289;136;11147;11572
Ksour Essaf;قصور الساف;15764;91;93;5848;6032
Ksibet Thrayet;قصيبة - الثريات;6237;123;42;3048;3213
Ksibet El Mediouni;قصيبة المديوني;7264;86;58;3383;3527
Gaafour;قعفور;8989;205;74;2927;3206
Gafsa;قفصة;54251;469;185;14805;15459
Kalâat El Andalous;قلعة الأندلس;11075;143;65;5042;5250
Kalaat Senan;قلعة سنان;7435;220;58;2747;3025
Kelibia;قليبية;24622;231;120;9544;9895
Ketana;كتانة;7307;75;56;1929;2060
Kerker;كركر;7198;106;54;3414;3574
Kesra;كسرى;7794;207;72;2423;2702
Kondar;كندار;5973;237;67;3739;4043
Lala;لالة;6793;81;44;2298;2423
Lamta;لمطة;3190;44;16;1769;1829
Metline;ماتلين;6634;86;62;1916;2064
Majel Bel Abbes;ماجل بلعباس;11045;197;65;4835;5097
Mareth;مارث;14699;185;106;4650;4941
Mateur;ماطر;19888;325;149;4844;5318
Medjez El Bab;مجاز الباب;18118;191;97;6024;6312
Mednine;مدنين;47023;382;238;15089;15709
Mornag;مرناق;19795;311;154;6232;6697
Mezzouna;مزونة;12420;185;88;7206;7479
Msaken;مساكن;34825;336;183;11664;12183
Matmata;مطماطة;2561;46;32;943;1021
Matmata Djedaïda;مطماطة الجديدة;7106;146;58;2253;2457
Megrine;مقرين;17014;179;132;6007;6318
Makthar;مكثر;12892;195;132;4271;4598
Melloulech;ملولش;9656;137;54;2463;2654
Menzel El Habib;منزل الحبيب;6136;120;39;2676;2835
Menzel Mhiri;منزل المهيري;6425;160;44;2751;2955
Menzel Bourguiba;منزل بورقيبة;29721;401;174;7645;8220
Menzel Bouzelfa;منزل بوزلفة;21036;244;154;6337;6735
Menzel Bouzaiane;منزل بوزيان;16625;236;114;6880;7230
Menzel Temime;منزل تميم;25864;239;172;7687;8098
Menzel Jemil;منزل جميل;13072;190;77;4587;4854
Menzel Hor;منزل حر;3827;73;33;1702;1808
Menzel Hayet;منزل حياة;5918;97;51;3558;3706
Menzel Salem;منزل سالم;905;45;7;506;558
Menzel Chaker;منزل شاكر;8815;103;43;2477;2623
Menzel Abderrahmane;منزل عبد الرحمان;8139;171;68;3289;3528
Menzel Farsi;منزل فارسي;1936;31;25;1101;1157
Menzel Kamel;منزل كامل;3601;48;33;1739;1820
Menzel Ennour;منزل نور;5821;57;46;3091;3194
Manouba;منوبة;22044;156;136;7087;7379
Midoun;ميدون;24777;178;113;8544;8835
Nabeul;نابل;41924;494;327;16466;17287
Nebeur;نبر;6889;152;82;2739;2973
Nasrallah;نصر الله;10945;269;73;3363;3705
Naâssen;نعسان;11803;156;69;3017;3242
Nefza;نفزة;15663;428;153;5816;6397
Nefta;نفطة;15608;143;78;5199;5420
Hebira;هبيرة;5037;195;64;1924;2183
Hergla;هرقلة;4431;129;46;2302;2477
Oued Ellil;وادي الليل;30108;424;163;8404;8991
Oued Meliz;وادي مليز;8721;176;98;3198;3472
Oudref;وذرف;8083;79;60;3753;3892
Ouechtata;وشتاتة - الجميلة;11702;38;70;3789;3897
